example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,6,A,2,8,0.39079799026739404,I_real,0,phase2-selected
61,6,I_shuffle,2,8,-1.0450727431500544,I_real,0,phase2-selected
61,5,I_zero,3,8,0.6584130427876457,I_real,0,phase2-selected
61,0,A,0,0,0.15809232680523982,I_real,2,phase2-selected
61,0,I_shuffle,0,0,-0.8351961980100537,I_real,2,phase2-selected
61,-1,I_zero,1,0,0.42570737932549146,I_real,2,phase2-selected
61,0,A,0,0,-1.0066789720879226,I_real,4,phase2-selected
61,0,I_shuffle,0,0,-1.422042299489506,I_real,4,phase2-selected
61,-1,I_zero,1,0,-0.7390639195676709,I_real,4,phase2-selected
61,0,A,0,0,-1.3674601726844662,I_real,8,phase2-selected
61,0,I_shuffle,0,0,-0.0765271421338691,I_real,8,phase2-selected
61,-1,I_zero,1,0,-1.0998451201642145,I_real,8,phase2-selected
61,0,A,0,0,-1.5300588764128138,I_real,12,phase2-selected
61,-1,I_shuffle,1,0,0.14576246699348824,I_real,12,phase2-selected
61,-1,I_zero,1,0,-1.2624438238925622,I_real,12,phase2-selected
61,0,A,0,0,-1.6528951769969502,I_real,16,phase2-selected
61,0,I_shuffle,0,0,0.26160477028518425,I_real,16,phase2-selected
61,-1,I_zero,1,0,-1.3852801244766986,I_real,16,phase2-selected
61,0,A,0,0,-1.8029926956677047,I_real,24,phase2-selected
61,0,I_shuffle,0,0,0.33567956236542246,I_real,24,phase2-selected
61,-1,I_zero,1,0,-1.5353776431474528,I_real,24,phase2-selected
61,0,A,0,0,-2.2127382950704604,I_real,32,phase2-selected
61,0,I_shuffle,0,0,0.24271198960601306,I_real,32,phase2-selected
61,-1,I_zero,1,0,-1.945123242550209,I_real,32,phase2-selected
