alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,0,phase2-selected,0.3114754098360656
I_real,0.819672131147541,0.3289057558507274,-2.28339876894091,0,phase2-selected,0.39344262295081966
I_shuffle,0.9836065573770492,0.15384615384615383,-1.2383260257908555,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,2,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-2.5161044324030644,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-1.6809082343930104,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,4,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-3.6808757312962266,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.2588334318067207,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,8,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-4.041656931892771,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.965129789758901,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,12,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-4.204255635621117,12,phase2-selected,0.29508196721311475
I_shuffle,0.9836065573770492,0.1855921855921856,-4.350018102614606,12,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,16,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-4.327091936205254,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.588696706490438,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,24,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-4.477189454876009,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.8128690172414315,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.9836065573770492,0.1855921855921856,-2.9418118117285554,32,phase2-selected,0.3114754098360656
I_real,1.0,0.1518987341772152,-4.886935054278765,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.129647043884778,32,phase2-selected,0.29508196721311475
