arm_alias,example_id,memory_long_slots,query_index,reader_argmax_mass,reader_argmax_slot,reader_attention_entropy,reader_slot_coverage_fraction,step,suite
I_real,226458,8,0,0.1250000149011612,2,2.0794413089752197,0.25,0,phase2-selected
I_real,78516,8,0,0.1250000149011612,6,2.0794413089752197,0.125,0,phase2-selected
I_real,28788,8,0,0.1250000149011612,5,2.0794413089752197,0.25,0,phase2-selected
I_real,117767,8,0,0.1250000298023224,6,2.079441547393799,0.25,0,phase2-selected
I_real,54789,8,0,0.1250000149011612,5,2.0794413089752197,0.375,0,phase2-selected
I_real,56960,8,0,0.1250000149011612,2,2.0794413089752197,0.25,0,phase2-selected
I_real,155125,8,0,0.1250000149011612,2,2.0794413089752197,0.25,0,phase2-selected
I_real,84675,8,0,0.1250000149011612,6,2.0794413089752197,0.125,0,phase2-selected
I_real,64471,8,0,0.1250000298023224,6,2.079441547393799,0.375,0,phase2-selected
I_real,23835,8,0,0.1250000149011612,5,2.0794413089752197,0.25,0,phase2-selected
I_real,132244,8,0,0.1250000298023224,6,2.079441547393799,0.25,0,phase2-selected
I_real,39959,8,0,0.1250000149011612,2,2.0794413089752197,0.375,0,phase2-selected
I_shuffle,226458,8,0,0.1250000298023224,6,2.079441547393799,0.375,0,phase2-selected
I_shuffle,78516,8,0,0.1250000149011612,3,2.0794413089752197,0.125,0,phase2-selected
I_shuffle,28788,8,0,0.1250000149011612,0,2.0794413089752197,0.125,0,phase2-selected
I_shuffle,117767,8,0,0.1250000149011612,3,2.0794413089752197,0.25,0,phase2-selected
I_shuffle,54789,8,0,0.1250000149011612,5,2.0794413089752197,0.25,0,phase2-selected
I_shuffle,56960,8,0,0.1250000149011612,2,2.0794413089752197,0.25,0,phase2-selected
I_shuffle,155125,8,0,0.1250000149011612,3,2.0794413089752197,0.25,0,phase2-selected
I_shuffle,84675,8,0,0.1250000149011612,0,2.0794413089752197,0.125,0,phase2-selected
I_shuffle,64471,8,0,0.1250000149011612,3,2.0794413089752197,0.25,0,phase2-selected
I_shuffle,23835,8,0,0.1250000149011612,6,2.0794413089752197,0.125,0,phase2-selected
I_shuffle,132244,8,0,0.1250000149011612,6,2.0794413089752197,0.125,0,phase2-selected
I_shuffle,39959,8,0,0.1250000149011612,3,2.0794413089752197,0.25,0,phase2-selected
I_zero,226458,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,78516,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,28788,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,117767,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,54789,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,56960,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,155125,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,84675,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,64471,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,23835,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,132244,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_zero,39959,8,0,0.0,0,1.4736543789695133e-06,0.0,0,phase2-selected
I_real,226458,8,0,0.125,0,2.0794413089752197,0.0,2,phase2-selected
I_real,78516,8,0,0.1250000149011612,4,2.0794413089752197,0.25,2,phase2-selected
I_real,28788,8,0,0.1250000149011612,5,2.0794413089752197,0.125,2,phase2-selected
I_real,117767,8,0,0.1250000149011612,2,2.0794413089752197,0.125,2,phase2-selected
I_real,54789,8,0,0.125,1,2.0794413089752197,0.0,2,phase2-selected
I_real,56960,8,0,0.125,0,2.0794413089752197,0.0,2,phase2-selected
I_real,155125,8,0,0.1250000149011612,5,2.0794413089752197,0.125,2,phase2-selected
I_real,84675,8,0,0.125,1,2.0794413089752197,0.0,2,phase2-selected
I_real,64471,8,0,0.1250000149011612,4,2.0794413089752197,0.125,2,phase2-selected
