bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,1.6780495252765593,2.829477794834825,0,phase2-selected
A_wrong,43,3.332522991091706,4.704261957212936,0,phase2-selected
SUPPORTS,18,-2.274303754170736,-1.6491732597351074,0,phase2-selected
REFUTES,20,2.258149290084839,0.7433623313903809,0,phase2-selected
NOT_ENOUGH_INFO,23,4.266760991967243,8.148522501406463,0,phase2-selected
overall,61,-0.9735600831078701,-0.6035564297535381,2,phase2-selected
A_wrong,43,-0.9860704998637355,-2.8347875240237213,2,phase2-selected
SUPPORTS,18,-0.9436740875244141,4.7266067398919,2,phase2-selected
REFUTES,20,1.049090814590454,-5.181172895431518,2,phase2-selected
NOT_ENOUGH_INFO,23,-2.7557759906934653,-0.7944524184517239,2,phase2-selected
overall,61,-1.2570863942630957,-0.9168739318847656,4,phase2-selected
A_wrong,43,-1.6222933946653855,-3.7325777453045514,4,phase2-selected
SUPPORTS,18,-0.3846474488576253,5.809529622395833,4,phase2-selected
REFUTES,20,0.18164389133453368,-6.427260208129883,4,phase2-selected
NOT_ENOUGH_INFO,23,-3.1909345129261846,-1.3893756037173064,4,phase2-selected
overall,61,-1.2560328499215547,-1.2945841179519404,8,phase2-selected
A_wrong,43,-1.6259580878324287,-4.620378339013388,8,phase2-selected
SUPPORTS,18,-0.37232255935668945,6.6503687434726295,8,phase2-selected
REFUTES,20,-0.12388772964477539,-7.932466459274292,8,phase2-selected
NOT_ENOUGH_INFO,23,-2.9321062253869097,-1.7403017126995584,8,phase2-selected
overall,61,-1.0879432334274541,-1.3529527851792633,12,phase2-selected
A_wrong,43,-1.1926228168398836,-4.762471531712731,12,phase2-selected
SUPPORTS,18,-0.8378753397199843,6.792008664872911,12,phase2-selected
REFUTES,20,-0.3067712068557739,-8.807846927642823,12,phase2-selected
NOT_ENOUGH_INFO,23,-1.9629285646521526,-1.2447537961213484,12,phase2-selected
overall,61,-0.9284864644535252,-1.3302388582073275,16,phase2-selected
A_wrong,43,-1.1002532160559366,-5.013975875322209,16,phase2-selected
SUPPORTS,18,-0.5181547800699869,7.469799571567112,16,phase2-selected
REFUTES,20,-0.5713345050811768,-9.37896089553833,16,phase2-selected
NOT_ENOUGH_INFO,23,-1.560182529947032,-1.2183367273081904,16,phase2-selected
overall,61,-0.7535534374049453,-1.3301225568427415,24,phase2-selected
A_wrong,43,-1.1454578776692235,-5.584398646687353,24,phase2-selected
SUPPORTS,18,0.1826627254486084,8.832870324452719,24,phase2-selected
REFUTES,20,-0.7942481756210327,-10.189091682434082,24,phase2-selected
NOT_ENOUGH_INFO,23,-1.4508576185806938,-1.5803177460380222,24,phase2-selected
overall,61,-0.6999619827895868,-1.4748406019367155,32,phase2-selected
A_wrong,43,-1.1095619756121968,-6.084229735440986,32,phase2-selected
SUPPORTS,18,0.2785268889533149,9.53647788365682,32,phase2-selected
REFUTES,20,-0.7442957878112793,-10.912707424163818,32,phase2-selected
NOT_ENOUGH_INFO,23,-1.4271847476129946,-1.8855534843776538,32,phase2-selected
