bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,1.164116343513864,1.5425486017446048,0,phase2-selected
A_wrong,43,2.112336513608001,2.2052238597426306,0,phase2-selected
SUPPORTS,18,-1.1010762850443523,-0.04050895902845594,0,phase2-selected
REFUTES,20,0.7309338092803955,0.18309602737426758,0,phase2-selected
NOT_ENOUGH_INFO,23,3.313556256501571,3.9635958878890327,0,phase2-selected
overall,61,0.494875642119861,0.0021406236242075436,2,phase2-selected
A_wrong,43,1.5941109989964686,-1.5826272299123365,2,phase2-selected
SUPPORTS,18,-2.131075488196479,3.7879749404059515,2,phase2-selected
REFUTES,20,1.449362564086914,-5.341658258438111,2,phase2-selected
NOT_ENOUGH_INFO,23,1.7199792032656462,1.6860954035883364,2,phase2-selected
overall,61,0.3308783202874856,-0.5062851202292521,4,phase2-selected
A_wrong,43,1.3805196673371072,-2.6429846564004587,4,phase2-selected
SUPPORTS,18,-2.176598230997721,4.5980526606241865,4,phase2-selected
REFUTES,20,3.1587812423706056,-4.868115425109863,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.16579474573550018,-0.7080883357835852,4,phase2-selected
overall,61,1.0582756761644707,-0.923595021982662,8,phase2-selected
A_wrong,43,2.5206850628520168,-4.1295950468196425,8,phase2-selected
SUPPORTS,18,-2.4352578587002225,6.735182815127903,8,phase2-selected
REFUTES,20,1.8147725582122802,-8.246450853347778,8,phase2-selected
NOT_ENOUGH_INFO,23,3.134522023408309,-0.5497204324473506,8,phase2-selected
overall,61,1.3534213206807122,-1.1062767779240843,12,phase2-selected
A_wrong,43,2.97914896454922,-4.786841070929239,12,phase2-selected
SUPPORTS,18,-2.5302613841162787,7.6861823664771185,12,phase2-selected
REFUTES,20,2.079518532752991,-9.498794341087342,12,phase2-selected
NOT_ENOUGH_INFO,23,3.761436296545941,-0.6894904012265413,12,phase2-selected
overall,61,1.7005780485809827,-1.137945855250124,16,phase2-selected
A_wrong,43,3.428604325582815,-5.05629498459572,16,phase2-selected
SUPPORTS,18,-2.4274847242567272,8.222554842631022,16,phase2-selected
REFUTES,20,3.1173582077026367,-9.764660716056824,16,phase2-selected
NOT_ENOUGH_INFO,23,3.6992531237394912,-0.9620639137599779,16,phase2-selected
overall,61,1.7749147962351315,-1.375495144578277,24,phase2-selected
A_wrong,43,3.645389745401782,-5.60849648852681,24,phase2-selected
SUPPORTS,18,-2.6934420267740884,8.736674732632107,24,phase2-selected
REFUTES,20,3.7119515180587768,-10.225773811340332,24,phase2-selected
NOT_ENOUGH_INFO,23,3.587509943091351,-1.59347272955853,24,phase2-selected
overall,61,1.5177719944813213,-1.769403567079638,32,phase2-selected
A_wrong,43,3.0310419437497162,-6.582350331683491,32,phase2-selected
SUPPORTS,18,-2.0972617732153997,9.728191481696236,32,phase2-selected
REFUTES,20,3.0008610486984253,-11.52723033428192,32,phase2-selected
NOT_ENOUGH_INFO,23,3.057286200316056,-2.2824546772500742,32,phase2-selected
