bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.7956243890230773,0.6956162374527728,0,phase2-selected
A_wrong,43,-2.077449465906897,-0.20889122541560684,0,phase2-selected
SUPPORTS,18,2.266513294643826,2.8563840654161243,0,phase2-selected
REFUTES,20,-3.429758977890015,-3.877190637588501,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.9015281511389691,2.9809343503869097,0,phase2-selected
overall,61,1.3361490437241852,0.702202452987921,2,phase2-selected
A_wrong,43,0.6067134058752726,-1.1480071267416312,2,phase2-selected
SUPPORTS,18,3.0786897341410318,5.122147560119629,2,phase2-selected
REFUTES,20,-2.758933973312378,-5.885852432250976,2,phase2-selected
NOT_ENOUGH_INFO,23,3.5333633008210557,2.9718583563099736,2,phase2-selected
overall,61,0.16987805288346086,-0.4035532435432809,4,phase2-selected
A_wrong,43,-0.2352847609409066,-2.502251203670058,4,phase2-selected
SUPPORTS,18,1.13776699701945,4.6100029945373535,4,phase2-selected
REFUTES,20,-1.7393599033355713,-5.561984920501709,4,phase2-selected
NOT_ENOUGH_INFO,23,1.072606667228367,0.15838681096615997,4,phase2-selected
overall,61,-0.07980836805750112,-0.4622756614059698,8,phase2-selected
A_wrong,43,-0.7895304214122684,-3.81399289951768,8,phase2-selected
SUPPORTS,18,1.6156387594011095,7.5446044074164496,8,phase2-selected
REFUTES,20,-1.7493565559387207,-7.335542249679565,8,phase2-selected
NOT_ENOUGH_INFO,23,0.04510099991508152,-0.7517760732899541,8,phase2-selected
overall,61,-0.34467219524696224,-0.6612043771587435,12,phase2-selected
A_wrong,43,-1.5233185014059378,-4.42459832790286,12,phase2-selected
SUPPORTS,18,2.470982869466146,8.329125616285536,12,phase2-selected
REFUTES,20,-2.253686308860779,-8.458198380470275,12,phase2-selected
NOT_ENOUGH_INFO,23,-0.8882160601408585,-0.9171200213224991,12,phase2-selected
overall,61,-0.12960951445532626,-0.6577853531133934,16,phase2-selected
A_wrong,43,-1.4406522152035734,-4.666245981704357,16,phase2-selected
SUPPORTS,18,3.002325826221042,8.917981704076132,16,phase2-selected
REFUTES,20,-2.6966031789779663,-9.083637166023255,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.34852094235627545,-0.8250362562096637,16,phase2-selected
overall,61,0.8334985248378066,-0.8894607434507276,24,phase2-selected
A_wrong,43,1.338054712428603,-5.014918116636054,24,phase2-selected
SUPPORTS,18,-0.37183014551798504,8.965798536936441,24,phase2-selected
REFUTES,20,1.36860990524292,-9.869363594055176,24,phase2-selected
NOT_ENOUGH_INFO,23,1.3114849795465884,-0.7936611797498621,24,phase2-selected
overall,61,1.1175319327682744,-1.004999192034612,32,phase2-selected
A_wrong,43,2.052472791006399,-5.4752414947332335,32,phase2-selected
SUPPORTS,18,-1.1159378952450223,9.673912975523207,32,phase2-selected
REFUTES,20,2.1972862005233766,-10.546612787246705,32,phase2-selected
NOT_ENOUGH_INFO,23,1.926548087078592,-1.0653534142867378,32,phase2-selected
