alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-2.565697591812884,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-1.770073202789807,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-2.5591113762777358,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.895260420001921,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.664867072808938,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.834745125692399,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.723589490671627,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.6437811226141257,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.9225182064244004,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.577846011177438,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.91909918237905,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.789489667923724,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.150774572716385,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.984273097554191,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.266313021300269,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.383844954068543,32,phase2-selected,0.29508196721311475
