alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,fuser_grad_norm,fuser_input_effective_rank,fuser_input_pairwise_cosine_mean,fuser_linear_output_singular_value_top1,fuser_linear_output_singular_value_top2,fuser_linear_output_singular_value_top3,fuser_output_effective_rank,fuser_output_pairwise_cosine_mean,fuser_short_query_pairwise_cosine_mean,layer_index,loss,memory_long_diversity_loss,memory_long_diversity_weight,memory_long_effective_rank,memory_long_l2,memory_long_singular_value_top1,memory_long_singular_value_top2,memory_long_singular_value_top3,memory_long_slot_energy_cv,memory_long_slot_energy_histogram_max,memory_long_slot_energy_histogram_min,memory_long_slot_norm_histogram_max,memory_long_slot_norm_histogram_min,memory_long_slot_norm_max,memory_long_slot_norm_mean,memory_long_slot_norm_std,memory_long_slot_variance_cv,memory_long_slots,memory_short_diversity_loss,memory_short_diversity_weight,memory_short_effective_rank,memory_short_l2,memory_short_pairwise_cosine_mean,memory_short_slot_norm_max,memory_short_slot_norm_mean,memory_short_slot_norm_std,memory_short_slots,pilot_fuser_short_slots,pilot_memory_path_variant,pilot_projector_token_source,pilot_reader_context_mode,pilot_reader_num_queries,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,reader_argmax_mass_mean,reader_argmax_mass_std,reader_attention_diversity_loss,reader_attention_diversity_weight,reader_attention_entropy_max,reader_attention_entropy_mean,reader_attention_entropy_min,reader_attention_pairwise_cosine_mean,reader_base_query_norm_mean,reader_base_query_pairwise_cosine_mean,reader_conditioned_query_norm_mean,reader_conditioned_query_pairwise_cosine_mean,reader_context_overwrite_ratio,reader_context_shift_norm_mean,reader_grad_norm,reader_num_queries,reader_qk_logit_mean,reader_qk_logit_pairwise_cosine_mean,reader_qk_logit_range,reader_qk_logit_std,reader_query_to_slot_top1_agreement_rate,reader_query_to_slot_top2_coverage_fraction,reader_readout_effective_rank,reader_readout_pairwise_cosine_mean,reader_slot_count,reader_slot_coverage_fraction,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_basis_orthogonality_loss,writer_slot_basis_orthogonality_weight,writer_slot_basis_pairwise_cosine_mean,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,1.1780363321304321,0.9995986223220825,0.0,0.0,0.0,1.3796590566635132,0.9976614713668823,-0.004820098169147968,,,,,,117.81742858886719,117.73507690429688,1.665183186531067,1.6651830673217773,0.0020996186362783175,1741.669189453125,1729.279052734375,41.73331069946289,41.58460235595703,41.73331069946289,41.654727935791016,0.043726105242967606,0.0021002810006409845,8.0,,,,78.38145446777344,0.9976614713668823,39.19072723388672,39.19071960449219,4.672031082009198e-06,4.0,4.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,10.65313720703125,,2.421518564224243,2.381991147994995,0.024191804230213165,4.0,,,0.12503215670585632,9.78229127213126e-06,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,0.7867552042007446,0.0038410022389143705,0.7867552042007446,0.0038410022389143705,0.0,0.0,,4.0,-0.0027041202411055565,-0.002879371400922537,0.01535688154399395,0.005356455687433481,0.75,0.5,1.1780363321304321,0.9995986223220825,8.0,0.875,snapshot_aggregate,0,phase2-selected,,6.0,96.0995101928711,39.23421096801758,39.23246383666992,0.0013708641054108739,,,117.81742858886719,,,,41.73331069946289,41.654727935791016,0.043726105242967606,
,,,I_real,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.804253578186035,2.421518564224243,2.4020698070526123,0.011459309607744217,,,,,,4.0,2203.770263671875,13.460429191589355,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.682818412780762,2.3524329662323,2.3412232398986816,0.007612756919115782,,,,,,4.0,104.1253890991211,23.842132568359375,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.804574012756348,2.4143645763397217,2.402371883392334,0.0074388072825968266,,,,,,4.0,61.46190643310547,44.427337646484375,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.755937099456787,2.394935369491577,2.377755641937256,0.010019976645708084,,,,,,4.0,39.34052658081055,47.80941390991211,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.773116588592529,2.3995919227600098,2.386536121368408,0.007877386175096035,,,,,,4.0,44.59726333618164,138.10226440429688,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,1.1769294738769531,0.9996045827865601,0.0,0.0,0.0,1.3911325931549072,0.9974944591522217,0.011222874745726585,,,,,,117.7722396850586,117.68980407714844,1.6651835441589355,1.6651830673217773,0.0012162103125164796,1737.298095703125,1731.33056640625,41.680912017822266,41.6092529296875,41.680912017822266,41.638763427734375,0.025318315252661705,0.0012161801945888312,8.0,,,,78.3812255859375,0.9974944591522217,39.190616607666016,39.19061279296875,4.672031082009198e-06,4.0,4.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,7.467155456542969,,1.7559118270874023,1.6691337823867798,0.043750256299972534,4.0,,,0.1250365972518921,6.868152468086919e-06,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,0.7777800559997559,-0.0034216009080410004,0.7777800559997559,-0.0034216009080410004,0.0,0.0,,4.0,-0.0004805161734111607,-0.03633773326873779,0.016995897516608238,0.0059096249751746655,0.25,0.875,1.1769294738769531,0.9996045827865601,8.0,1.0,snapshot_aggregate,0,phase2-selected,,6.0,96.09972381591797,39.234130859375,39.23255157470703,0.0015306604327633977,,,117.7722396850586,,,,41.680912017822266,41.638763427734375,0.025318315252661705,
,,,I_shuffle,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2782158851623535,1.6869996786117554,1.6387826204299927,0.03636224567890167,,,,,,4.0,2204.4765625,12.277544975280762,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3661389350891113,1.7365211248397827,1.6827069520950317,0.03762343153357506,,,,,,4.0,103.552490234375,24.19375991821289,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3089771270751953,1.7048190832138062,1.6540491580963135,0.03759770467877388,,,,,,4.0,58.205928802490234,43.91111373901367,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
