bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-1.7310670164764905,-0.08714124022937211,0,phase2-selected
A_wrong,43,-3.1123489335525867,-0.21082549871400344,0,phase2-selected
SUPPORTS,18,1.5686620076497395,0.20832671059502494,0,phase2-selected
REFUTES,20,-1.5900509834289551,-0.37218518257141114,0,phase2-selected
NOT_ENOUGH_INFO,23,-4.43608628148618,-0.0705127301423446,0,phase2-selected
overall,61,0.1250910837142194,0.798439088414927,2,phase2-selected
A_wrong,43,0.4167221867760947,0.32207185168598973,2,phase2-selected
SUPPORTS,18,-0.5715832180447049,1.9364274872673883,2,phase2-selected
REFUTES,20,0.09459953308105469,-2.7732334613800047,2,phase2-selected
NOT_ENOUGH_INFO,23,0.6968288421630859,3.0136416891346807,2,phase2-selected
overall,61,1.0530691615870742,0.47960439275522704,4,phase2-selected
A_wrong,43,1.5218526707139126,-0.8633586306904637,4,phase2-selected
SUPPORTS,18,-0.06680255466037327,3.687793837653266,4,phase2-selected
REFUTES,20,0.18816018104553223,-4.579023647308349,4,phase2-selected
NOT_ENOUGH_INFO,23,2.681585270425548,2.367654427238133,4,phase2-selected
overall,61,1.5874583369395772,0.33601491177668336,8,phase2-selected
A_wrong,43,2.3673189407171207,-1.8516245886336926,8,phase2-selected
SUPPORTS,18,-0.2755419943067763,5.56204260720147,8,phase2-selected
REFUTES,20,0.4810154676437378,-6.155591130256653,8,phase2-selected
NOT_ENOUGH_INFO,23,4.007582830346149,1.8909550127775774,8,phase2-selected
overall,61,1.1657783242522692,-0.007676296546810963,12,phase2-selected
A_wrong,43,1.5264817836672762,-2.935169208881467,12,phase2-selected
SUPPORTS,18,0.30409783787197536,6.985778994030422,12,phase2-selected
REFUTES,20,-0.6526730775833129,-7.359897637367249,12,phase2-selected
NOT_ENOUGH_INFO,23,3.4213990543199624,0.9124207289322562,12,phase2-selected
overall,61,0.741188111852427,-0.32169423337842595,16,phase2-selected
A_wrong,43,1.071426513583161,-3.8946574898653252,16,phase2-selected
SUPPORTS,18,-0.04771473672654894,8.21371799045139,16,phase2-selected
REFUTES,20,-0.32580177783966063,-8.455615019798278,16,phase2-selected
NOT_ENOUGH_INFO,23,2.286407636559528,0.07139253616333008,16,phase2-selected
overall,61,0.5334151533783459,-0.7693283206126729,24,phase2-selected
A_wrong,43,0.5538738162018532,-5.123903274536133,24,phase2-selected
SUPPORTS,18,0.4845416810777452,9.633267402648926,24,phase2-selected
REFUTES,20,-0.1632082223892212,-10.04294741153717,24,phase2-selected
NOT_ENOUGH_INFO,23,1.1774234149767004,-0.8464735901874044,24,phase2-selected
overall,61,0.10690735988929624,-1.21768774751757,32,phase2-selected
A_wrong,43,0.12042169792707576,-6.113832351773284,32,phase2-selected
SUPPORTS,18,0.07462310791015625,10.478657695982191,32,phase2-selected
REFUTES,20,0.2816277027130127,-11.25453178882599,32,phase2-selected
NOT_ENOUGH_INFO,23,-0.019757436669391136,-1.6436589282491934,32,phase2-selected
