alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.3484550694950292,0,phase2-selected,0.29508196721311475
I_shuffle,0.9836065573770492,0.1452991452991453,-1.6173880530185387,0,phase2-selected,0.2786885245901639
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-2.46287474085073,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.5879658245649493,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-2.78170943651043,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.834778598097504,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-2.925298917488974,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.512757254428551,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.268990125812468,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.4347684500647375,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.583008062644083,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.32419617449651,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.03064214987833,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.564057303256676,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.261313829265657,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.479001576783227,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.585908936672523,32,phase2-selected,0.29508196721311475
