example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,-4.385993394695345,I_real,0,phase2-selected
61,0,I_shuffle,0,0,-0.06641208148393475,I_real,0,phase2-selected
61,0,I_zero,0,0,-3.911374967606341,I_real,0,phase2-selected
61,0,A,0,0,-4.365978741254962,I_real,2,phase2-selected
61,0,I_shuffle,0,0,-0.06731442154430953,I_real,2,phase2-selected
61,0,I_zero,0,0,-3.8913603141659596,I_real,2,phase2-selected
61,0,A,0,0,-4.18867495020882,I_real,4,phase2-selected
61,0,I_shuffle,0,0,0.06317537339007268,I_real,4,phase2-selected
61,0,I_zero,0,0,-3.714056523119817,I_real,4,phase2-selected
61,0,A,0,0,-4.29377827097158,I_real,8,phase2-selected
61,0,I_shuffle,0,0,0.032434111735859854,I_real,8,phase2-selected
61,0,I_zero,0,0,-3.8191598438825762,I_real,8,phase2-selected
61,0,A,0,0,-4.3195341532347635,I_real,12,phase2-selected
61,0,I_shuffle,0,0,-0.07792091369628906,I_real,12,phase2-selected
61,0,I_zero,0,0,-3.84491572614576,I_real,12,phase2-selected
61,0,A,0,0,-4.4203759099616375,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.02670295121239834,I_real,16,phase2-selected
61,0,I_zero,0,0,-3.9457574828726347,I_real,16,phase2-selected
61,0,A,0,0,-4.3548533642878295,I_real,24,phase2-selected
61,0,I_shuffle,0,0,0.09471649420065958,I_real,24,phase2-selected
61,0,I_zero,0,0,-3.8802349371988267,I_real,24,phase2-selected
61,0,A,0,0,-4.823911338556008,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-0.21433412833291976,I_real,32,phase2-selected
61,0,I_zero,0,0,-4.349292911467005,I_real,32,phase2-selected
