alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.0087430594397375,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.878259893323555,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.7715805788509185,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.8452921382716445,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.398844410161503,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.5646019880888895,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.7045174739399895,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.727902646924629,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.280620582768174,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.47493314743042,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.020638520600365,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.559365249070965,16,phase2-selected,0.29508196721311475
