bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.012650517166637983,-0.7210100517898309,0,phase2-selected
A_wrong,43,0.02984575338141863,-4.236673166585523,0,phase2-selected
SUPPORTS,18,-0.11416938569810656,7.6775185002221,0,phase2-selected
REFUTES,20,0.011395466327667237,-8.383282208442688,0,phase2-selected
NOT_ENOUGH_INFO,23,0.045889481254245926,-0.6309261736662491,0,phase2-selected
overall,61,-0.4540994206412894,-1.44224630418371,2,phase2-selected
A_wrong,43,-0.6891603137171546,-6.1977384145869765,2,phase2-selected
SUPPORTS,18,0.10743493503994411,9.918095959557427,2,phase2-selected
REFUTES,20,-0.5027674674987793,-12.116920375823975,2,phase2-selected
NOT_ENOUGH_INFO,23,-0.85124104955922,-1.050623665685239,2,phase2-selected
overall,61,-0.5187939503153817,-1.4716032919336537,4,phase2-selected
A_wrong,43,-1.1881883532501931,-6.529722291369771,4,phase2-selected
SUPPORTS,18,1.080314901140001,10.61168098449707,4,phase2-selected
REFUTES,20,-0.879625391960144,-12.826781415939331,4,phase2-selected
NOT_ENOUGH_INFO,23,-1.456503971763279,-1.0540187047875447,4,phase2-selected
overall,61,0.35561678839511557,-1.6311341348241588,8,phase2-selected
A_wrong,43,1.09344379291978,-7.326663549556288,8,phase2-selected
SUPPORTS,18,-1.406969944636027,11.974852800369263,8,phase2-selected
REFUTES,20,0.5086889505386353,-13.930217671394349,8,phase2-selected
NOT_ENOUGH_INFO,23,1.6019262645555579,-1.5844425740449324,8,phase2-selected
overall,61,0.9581752917805656,-2.1313915878045755,12,phase2-selected
A_wrong,43,2.159459258234778,-8.719601498093716,12,phase2-selected
SUPPORTS,18,-1.9115586280822754,13.607109864552816,12,phase2-selected
REFUTES,20,1.0562869787216187,-15.709650087356568,12,phase2-selected
NOT_ENOUGH_INFO,23,3.1187395012896992,-2.6412983769955845,12,phase2-selected
overall,61,1.162271827947898,-2.65742389491347,16,phase2-selected
A_wrong,43,2.498253356578738,-9.889064511587453,16,phase2-selected
SUPPORTS,18,-2.029239601559109,14.618162022696602,16,phase2-selected
REFUTES,20,1.3838421821594238,-16.880035161972046,16,phase2-selected
NOT_ENOUGH_INFO,23,3.4673065517259682,-3.809959598209547,16,phase2-selected
overall,61,1.5830326471172396,-3.284861916401347,24,phase2-selected
A_wrong,43,2.948850232501363,-11.345214300377425,24,phase2-selected
SUPPORTS,18,-1.6797538068559434,15.97042433420817,24,phase2-selected
REFUTES,20,1.2484195470809936,-18.218141651153566,24,phase2-selected
NOT_ENOUGH_INFO,23,4.4274856111277705,-5.368755734485129,24,phase2-selected
overall,61,1.5500627892916319,-3.5575984266937755,32,phase2-selected
A_wrong,43,2.850610766299935,-12.097459482592205,32,phase2-selected
SUPPORTS,18,-1.5568018224504259,16.84318076239692,32,phase2-selected
REFUTES,20,1.1819724082946776,-19.332262492179872,32,phase2-selected
NOT_ENOUGH_INFO,23,4.301600642826246,-5.806326430776845,32,phase2-selected
