example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,-1.7910323221175397,I_real,0,phase2-selected
61,0,I_shuffle,0,0,-0.012650517166637983,I_real,0,phase2-selected
61,0,I_zero,0,0,-0.7210100517898309,I_real,0,phase2-selected
61,0,A,0,0,-2.5122685745114186,I_real,2,phase2-selected
61,0,I_shuffle,0,0,-0.4540994206412894,I_real,2,phase2-selected
61,0,I_zero,0,0,-1.44224630418371,I_real,2,phase2-selected
61,0,A,0,0,-2.5416255622613626,I_real,4,phase2-selected
61,0,I_shuffle,0,0,-0.5187939503153817,I_real,4,phase2-selected
61,0,I_zero,0,0,-1.4716032919336537,I_real,4,phase2-selected
61,0,A,0,0,-2.7011564051518673,I_real,8,phase2-selected
61,0,I_shuffle,0,0,0.35561678839511557,I_real,8,phase2-selected
61,0,I_zero,0,0,-1.6311341348241588,I_real,8,phase2-selected
61,0,A,0,0,-3.2014138581322844,I_real,12,phase2-selected
61,0,I_shuffle,0,0,0.9581752917805656,I_real,12,phase2-selected
61,0,I_zero,0,0,-2.1313915878045755,I_real,12,phase2-selected
61,0,A,0,0,-3.727446165241179,I_real,16,phase2-selected
61,0,I_shuffle,0,0,1.162271827947898,I_real,16,phase2-selected
61,0,I_zero,0,0,-2.65742389491347,I_real,16,phase2-selected
61,0,A,0,0,-4.3548841867290555,I_real,24,phase2-selected
61,0,I_shuffle,0,0,1.5830326471172396,I_real,24,phase2-selected
61,0,I_zero,0,0,-3.284861916401347,I_real,24,phase2-selected
61,0,A,0,0,-4.627620697021484,I_real,32,phase2-selected
61,0,I_shuffle,0,0,1.5500627892916319,I_real,32,phase2-selected
61,0,I_zero,0,0,-3.5575984266937755,I_real,32,phase2-selected
