alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.465229081325844,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.4525785641592055,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.186465333719722,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.732365913078433,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.215822321469666,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.697028371154285,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.375353164360171,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.730969952755287,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.875610617340588,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.833785909121154,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.401642924449483,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.563914752397381,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.02908094593736,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-8.6121135930546,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.301817456229788,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-8.85188024552142,32,phase2-selected,0.29508196721311475
