alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.425772565310119,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.435985135250404,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.238089010363719,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.831642799690122,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.189267877672539,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.7736899031967415,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.633345799367936,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.491924152999628,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.105167506171054,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.629380749874428,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.401832400775347,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-8.592399636252981,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.764846770489802,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-9.427067678482807,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.022451768155958,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-9.752828003930263,32,phase2-selected,0.29508196721311475
