bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.002200134464951812,-0.7043537624546738,0,phase2-selected
A_wrong,43,-0.025326473768367323,-4.24548985237299,0,phase2-selected
SUPPORTS,18,0.05304612053765191,7.755026896794637,0,phase2-selected
REFUTES,20,-0.00790719985961914,-8.345452380180358,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.04047366847162661,-0.6803050455839738,0,phase2-selected
overall,61,-0.15081646403328317,-1.3573516001466845,2,phase2-selected
A_wrong,43,-0.21123908286870913,-5.962298992068269,2,phase2-selected
SUPPORTS,18,-0.006473541259765625,9.643356058332655,2,phase2-selected
REFUTES,20,-0.2077340841293335,-12.335260963439941,2,phase2-selected
NOT_ENOUGH_INFO,23,-0.21428690785947052,-0.4205929300059443,2,phase2-selected
overall,61,-0.46500216155755714,-1.4606634437060746,4,phase2-selected
A_wrong,43,-0.9034483155538869,-6.35579638148463,4,phase2-selected
SUPPORTS,18,0.5823969841003418,10.233265240987143,4,phase2-selected
REFUTES,20,-0.5815097093582153,-12.949931693077087,4,phase2-selected
NOT_ENOUGH_INFO,23,-1.1833949296370796,-0.6217656757520593,4,phase2-selected
overall,61,0.42286345216094473,-1.700698133374824,8,phase2-selected
A_wrong,43,1.2030145290286043,-7.702491970949395,8,phase2-selected
SUPPORTS,18,-1.4408307870229085,12.636920478608873,8,phase2-selected
REFUTES,20,0.724190354347229,-14.42791028022766,8,phase2-selected
NOT_ENOUGH_INFO,23,1.6193833765776262,-1.8543021367943806,8,phase2-selected
overall,61,0.395271469335087,-2.3062052726745605,12,phase2-selected
A_wrong,43,1.3816951319228772,-9.273749673089316,12,phase2-selected
SUPPORTS,18,-1.961185057957967,14.338484128316244,12,phase2-selected
REFUTES,20,0.8130707621574402,-15.915477657318116,12,phase2-selected
NOT_ENOUGH_INFO,23,1.8761511056319526,-3.49833403462949,12,phase2-selected
overall,61,0.6420685072414211,-2.7346298108335403,16,phase2-selected
A_wrong,43,1.6474110692046409,-10.401563300642856,16,phase2-selected
SUPPORTS,18,-1.7595831685596042,15.580822414822048,16,phase2-selected
REFUTES,20,0.6862509965896606,-17.157067608833312,16,phase2-selected
NOT_ENOUGH_INFO,23,2.483202436695928,-4.527211728303329,16,phase2-selected
overall,61,1.1848733620565446,-2.9297122955322266,24,phase2-selected
A_wrong,43,2.316258946130442,-11.197503167529439,24,phase2-selected
SUPPORTS,18,-1.517881088786655,16.82112145423889,24,phase2-selected
REFUTES,20,0.5277219295501709,-18.227317523956298,24,phase2-selected
NOT_ENOUGH_INFO,23,3.8715085257654605,-5.0846211184626044,24,phase2-selected
overall,61,1.0326974880499917,-3.352588872440526,32,phase2-selected
A_wrong,43,2.1948866261992346,-11.94035400346268,32,phase2-selected
SUPPORTS,18,-1.7436432308620877,17.162627829445732,32,phase2-selected
REFUTES,20,0.5892992794513703,-19.004457569122316,32,phase2-selected
NOT_ENOUGH_INFO,23,3.5910495364147685,-5.797655250715173,32,phase2-selected
