alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.448572791990687,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.4463726575257345,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.101570629682697,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.950754165649414,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.204882473242088,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.73988031168453,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.444917162910837,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.867780615071782,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.0504243022105735,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.44569577154566,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.478848840369553,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.120917347610974,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.6739313250682395,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.858804687124784,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.744219029536013,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.096807901976539,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-8.12950539002653,32,phase2-selected,0.29508196721311475
