bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.8332923201263928,-0.1291088198052078,0,phase2-selected
A_wrong,43,-0.48874613296153935,0.6872555710548578,0,phase2-selected
SUPPORTS,18,-1.6563748783535428,-2.0793126424153647,0,phase2-selected
REFUTES,20,1.4093017578125,2.178440237045288,0,phase2-selected
NOT_ENOUGH_INFO,23,-2.1392225597215737,-0.6094267471976902,0,phase2-selected
overall,61,-1.3844254603151416,-0.21457503271884606,2,phase2-selected
A_wrong,43,-4.451631257700366,-2.830787414728209,2,phase2-selected
SUPPORTS,18,5.942788388994005,6.035265657636854,2,phase2-selected
REFUTES,20,-5.989533424377441,-5.996683597564697,2,phase2-selected
NOT_ENOUGH_INFO,23,-3.1143250258072563,-0.07783421226169752,2,phase2-selected
overall,61,-0.5260096378013736,-0.4352159187441967,4,phase2-selected
A_wrong,43,-2.419294922850853,-3.5626314407171207,4,phase2-selected
SUPPORTS,18,3.99683854315016,7.035832272635566,4,phase2-selected
REFUTES,20,-4.2538779973983765,-7.348018527030945,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.8240052928095278,-0.2709904960964037,4,phase2-selected
overall,61,-0.4379531985423604,-1.0241705472352074,8,phase2-selected
A_wrong,43,-2.0390757959942487,-4.9824465485506275,8,phase2-selected
SUPPORTS,18,3.3869507842593722,8.431711011462742,8,phase2-selected
REFUTES,20,-4.5446090459823605,-9.65102469921112,8,phase2-selected
NOT_ENOUGH_INFO,23,0.1396487692128057,-0.922813374063243,8,phase2-selected
overall,61,-0.7288497940438693,-1.4596016758778056,12,phase2-selected
A_wrong,43,-2.2429139225981958,-5.9716519311416985,12,phase2-selected
SUPPORTS,18,2.888081179724799,9.319185045030382,12,phase2-selected
REFUTES,20,-4.930253744125366,-11.236252117156983,12,phase2-selected
NOT_ENOUGH_INFO,23,0.09390331351238748,-1.393738725911016,12,phase2-selected
overall,61,-0.7972657641426462,-1.7553032187164808,16,phase2-selected
A_wrong,43,-2.0829545508983522,-6.6685913995254875,16,phase2-selected
SUPPORTS,18,2.274101893107096,9.981996324327257,16,phase2-selected
REFUTES,20,-4.3884491443634035,-12.250878620147706,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.07817664353743843,-1.814428598984428,16,phase2-selected
overall,61,-0.9893708150894915,-2.180997004274462,24,phase2-selected
A_wrong,43,-2.301143258116966,-7.589069976363072,24,phase2-selected
SUPPORTS,18,2.1443077988094754,10.738288429048326,24,phase2-selected
REFUTES,20,-4.273019194602966,-13.337482047080993,24,phase2-selected
NOT_ENOUGH_INFO,23,-0.5864685307378354,-2.590450784434443,24,phase2-selected
overall,61,-1.0159337559684378,-2.4164008234367995,32,phase2-selected
A_wrong,43,-2.250615430432697,-8.11200738507648,32,phase2-selected
SUPPORTS,18,1.9335835774739583,11.189770407146877,32,phase2-selected
REFUTES,20,-4.353781342506409,-14.182164168357849,32,phase2-selected
NOT_ENOUGH_INFO,23,-0.4217755068903384,-2.833610182223113,32,phase2-selected
