example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,6,6,-0.24871657324618981,I_real,0,phase2-selected
61,-1,I_shuffle,7,6,-0.8332923201263928,I_real,0,phase2-selected
61,0,I_zero,6,6,-0.1291088198052078,I_real,0,phase2-selected
61,0,A,0,0,-0.33418278615982805,I_real,2,phase2-selected
61,0,I_shuffle,0,0,-1.3844254603151416,I_real,2,phase2-selected
61,0,I_zero,0,0,-0.21457503271884606,I_real,2,phase2-selected
61,0,A,0,0,-0.5548236721851787,I_real,4,phase2-selected
61,0,I_shuffle,0,0,-0.5260096378013736,I_real,4,phase2-selected
61,0,I_zero,0,0,-0.4352159187441967,I_real,4,phase2-selected
61,0,A,0,0,-1.1437783006761895,I_real,8,phase2-selected
61,0,I_shuffle,0,0,-0.4379531985423604,I_real,8,phase2-selected
61,0,I_zero,0,0,-1.0241705472352074,I_real,8,phase2-selected
61,0,A,0,0,-1.5792094293187877,I_real,12,phase2-selected
61,0,I_shuffle,0,0,-0.7288497940438693,I_real,12,phase2-selected
61,0,I_zero,0,0,-1.4596016758778056,I_real,12,phase2-selected
61,0,A,0,0,-1.8749109721574626,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.7972657641426462,I_real,16,phase2-selected
61,0,I_zero,0,0,-1.7553032187164808,I_real,16,phase2-selected
61,0,A,0,0,-2.300604757715444,I_real,24,phase2-selected
61,0,I_shuffle,0,0,-0.9893708150894915,I_real,24,phase2-selected
61,0,I_zero,0,0,-2.180997004274462,I_real,24,phase2-selected
61,0,A,0,0,-2.536008576877782,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-1.0159337559684378,I_real,32,phase2-selected
61,0,I_zero,0,0,-2.4164008234367995,I_real,32,phase2-selected
