alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,0,phase2-selected,0.29508196721311475
I_real,0.7377049180327869,0.23809523809523805,-2.9229133324544936,0,phase2-selected,0.29508196721311475
I_shuffle,0.8852459016393442,0.20679012345679013,-2.089621012328101,0,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.008379545368132,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-1.6239540850529905,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.2290204313934825,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.7030107935921093,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.8179750598844935,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.380021861342133,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.253406188527092,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.5245563944832226,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.549107731365766,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.7518419672231205,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.9748015169237485,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.9854307018342565,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.210205336086085,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.194271580117648,32,phase2-selected,0.29508196721311475
