bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.06641208148393475,-3.911374967606341,0,phase2-selected
A_wrong,43,-0.09301578166872956,-13.675551591917525,0,phase2-selected
SUPPORTS,18,-0.0028587977091471353,19.414158079359268,0,phase2-selected
REFUTES,20,-0.1004298210144043,-21.420612001419066,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.08656879093336023,-6.940716453220533,0,phase2-selected
overall,61,0.07707799067262744,-3.711495086794994,2,phase2-selected
A_wrong,43,0.03945061217906863,-13.495722393656886,2,phase2-selected
SUPPORTS,18,0.16696561707390678,19.661936812930637,2,phase2-selected
REFUTES,20,-0.007437324523925782,-21.307166242599486,2,phase2-selected
NOT_ENOUGH_INFO,23,0.08022273105123769,-6.7031625250111455,2,phase2-selected
overall,61,-0.18096389145147604,-4.013488847701276,4,phase2-selected
A_wrong,43,-0.21317469796469046,-13.783302961393844,4,phase2-selected
SUPPORTS,18,-0.10401585366990831,19.325511535008747,4,phase2-selected
REFUTES,20,-0.04586467742919922,-21.38623414039612,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.3586616723433785,-7.172058457913606,4,phase2-selected
overall,61,0.07576371020958071,-3.8061990581574987,8,phase2-selected
A_wrong,43,0.07711820824201716,-13.55429759136466,8,phase2-selected
SUPPORTS,18,0.07252796490987141,19.480925215615166,8,phase2-selected
REFUTES,20,-0.053334283828735354,-21.409441828727722,8,phase2-selected
NOT_ENOUGH_INFO,23,0.19055515786875848,-6.723737384961999,8,phase2-selected
overall,61,-0.07351657992503682,-3.8720192283880515,12,phase2-selected
A_wrong,43,-0.1422429084777832,-13.720358316288438,12,phase2-selected
SUPPORTS,18,0.0906629827287462,19.654568592707317,12,phase2-selected
REFUTES,20,-0.13994483947753905,-21.540138244628906,12,phase2-selected
NOT_ENOUGH_INFO,23,-0.14424122934756073,-6.9205496829489,12,phase2-selected
overall,61,0.00017733652083600155,-3.809908405679171,16,phase2-selected
A_wrong,43,-0.028802916061046513,-13.63028259055559,16,phase2-selected
SUPPORTS,18,0.06940793991088867,19.649874369303387,16,phase2-selected
REFUTES,20,0.0717207908630371,-21.37319450378418,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.11621483512546706,-6.897315709487252,16,phase2-selected
