alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.0601901539036485,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.993778072419714,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.860310273092301,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.9373882637649285,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.162304033998583,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.981340142547107,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.955014244454806,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.030777954664386,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.020834414685359,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.947317834760322,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.9587235919764785,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.9589009284973145,16,phase2-selected,0.29508196721311475
