bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.05996004479830382,-3.7897602456514954,0,phase2-selected
A_wrong,43,-0.07797302201736805,-13.544099297634391,0,phase2-selected
SUPPORTS,18,-0.016929043663872614,19.512271934085422,0,phase2-selected
REFUTES,20,0.03073446750640869,-21.37610580921173,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.17250127377717392,-6.73365885278453,0,phase2-selected
overall,61,0.10146406830334273,-3.72130157126755,2,phase2-selected
A_wrong,43,0.07700294672056686,-13.499010452004367,2,phase2-selected
SUPPORTS,18,0.15989896986219618,19.636558532714844,2,phase2-selected
REFUTES,20,-0.0066634416580200195,-21.348843622207642,2,phase2-selected
NOT_ENOUGH_INFO,23,0.14975632791933807,-6.673068564871083,2,phase2-selected
overall,61,0.09669980064767306,-3.7304654512249056,4,phase2-selected
A_wrong,43,0.19134148886037428,-13.435709443203239,4,phase2-selected
SUPPORTS,18,-0.1293886767493354,19.454284085167778,4,phase2-selected
REFUTES,20,-0.005454564094543457,-21.370829820632935,4,phase2-selected
NOT_ENOUGH_INFO,23,0.362468491429868,-6.535604767177416,4,phase2-selected
overall,61,-0.1414045114986232,-3.939210813553607,8,phase2-selected
A_wrong,43,-0.15577202065046444,-13.73055150897004,8,phase2-selected
SUPPORTS,18,-0.10708212852478027,19.451214181052315,8,phase2-selected
REFUTES,20,0.025177979469299318,-21.38251621723175,8,phase2-selected
NOT_ENOUGH_INFO,23,-0.31311984684156335,-7.0766691539598545,8,phase2-selected
overall,61,-0.07349086198650423,-3.874509436185243,12,phase2-selected
A_wrong,43,-0.12483175410780796,-13.69303371739942,12,phase2-selected
SUPPORTS,18,0.04915682474772135,19.58085412449307,12,phase2-selected
REFUTES,20,-0.011768484115600586,-21.494521450996398,12,phase2-selected
NOT_ENOUGH_INFO,23,-0.2231476410575535,-6.909131340358568,12,phase2-selected
overall,61,0.02406651074769067,-3.885425512907935,16,phase2-selected
A_wrong,43,0.045846185018849926,-13.706801935683849,16,phase2-selected
SUPPORTS,18,-0.02796271112230089,19.576751497056748,16,phase2-selected
REFUTES,20,0.17422201633453369,-21.350466632843016,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.06578497264696204,-7.0601369816323984,16,phase2-selected
