alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.938575431948802,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.878615387150498,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.870116757564857,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.9715808258682,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.879280637522212,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.975980438169886,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.088025999850914,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.9466214883522905,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.02332462248255,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.949833760496046,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.034240699205243,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.0583072099529325,16,phase2-selected,0.29508196721311475
