alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,fuser_diversity_without_semantic_gain_flag,fuser_grad_norm,fuser_input_effective_rank,fuser_input_pairwise_cosine_mean,fuser_linear_output_singular_value_top1,fuser_linear_output_singular_value_top2,fuser_linear_output_singular_value_top3,fuser_output_effective_rank,fuser_output_pairwise_cosine_mean,fuser_rank_gain_over_readout,fuser_short_query_pairwise_cosine_mean,layer_index,loss,memory_long_centered_effective_rank,memory_long_centered_top1_top2_ratio,memory_long_common_mode_energy_ratio,memory_long_common_mode_vector_l2,memory_long_diversity_loss,memory_long_diversity_weight,memory_long_effective_rank,memory_long_l2,memory_long_singular_value_top1,memory_long_singular_value_top2,memory_long_singular_value_top3,memory_long_slot_energy_cv,memory_long_slot_energy_histogram_max,memory_long_slot_energy_histogram_min,memory_long_slot_norm_histogram_max,memory_long_slot_norm_histogram_min,memory_long_slot_norm_max,memory_long_slot_norm_mean,memory_long_slot_norm_std,memory_long_slot_variance_cv,memory_long_slots,memory_long_top1_top2_ratio,memory_short_diversity_loss,memory_short_diversity_weight,memory_short_effective_rank,memory_short_l2,memory_short_pairwise_cosine_mean,memory_short_slot_norm_max,memory_short_slot_norm_mean,memory_short_slot_norm_std,memory_short_slots,pilot_fuser_short_slots,pilot_memory_path_variant,pilot_projector_token_source,pilot_reader_context_mode,pilot_reader_num_queries,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,reader_argmax_mass_mean,reader_argmax_mass_std,reader_attention_diversity_loss,reader_attention_diversity_weight,reader_attention_entropy_max,reader_attention_entropy_mean,reader_attention_entropy_min,reader_attention_pairwise_cosine_mean,reader_base_query_norm_mean,reader_base_query_pairwise_cosine_mean,reader_conditioned_query_norm_mean,reader_conditioned_query_pairwise_cosine_mean,reader_context_overwrite_ratio,reader_context_shift_norm_mean,reader_grad_norm,reader_num_queries,reader_qk_logit_mean,reader_qk_logit_pairwise_cosine_mean,reader_qk_logit_range,reader_qk_logit_std,reader_query_to_slot_top1_agreement_rate,reader_query_to_slot_top2_coverage_fraction,reader_readout_centered_effective_rank,reader_readout_effective_rank,reader_readout_pairwise_cosine_mean,reader_slot_count,reader_slot_coverage_fraction,reader_value_projected_effective_rank,reader_value_projected_pairwise_cosine_mean,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_basis_orthogonality_loss,writer_slot_basis_orthogonality_weight,writer_slot_basis_pairwise_cosine_mean,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,1.0,,1.229752540588379,0.9992737174034119,35.941856384277344,31.072776794433594,28.827146530151367,3.977590560913086,-0.026854828000068665,2.747838020324707,0.0,,,7.0000457763671875,1.000000071586937,0.9986007213592529,41.612648010253906,,,,117.78076934814453,117.69843292236328,1.6652380228042603,1.6652379035949707,0.002465465432189629,1744.2900390625,1730.4188232421875,41.76470184326172,41.59830093383789,41.76470184326172,41.641761779785156,0.05128323659300804,0.002465810683668852,8.0,70.67964537835807,,,,61.87452697753906,-0.026854828000068665,32.88648223876953,30.866899490356445,2.0854384899139404,4.0,4.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,56.68182373046875,,15.302399635314941,12.489923477172852,2.154839038848877,4.0,,,0.5000662207603455,3.303522680653259e-05,,,0.6931482553482056,0.6931482553482056,0.6931481957435608,0.0,0.7699422836303711,-0.0010831884574145079,0.7699422836303711,-0.0010831884574145079,0.0,0.0,,4.0,-0.001672772690653801,0.0,0.009289080277085304,0.0036574560217559338,0.25,1.0,2.997011661529541,1.229752540588379,0.9992737174034119,8.0,1.0,1.5462335348129272,0.99875408411026,snapshot_aggregate,0,phase2-selected,,6.0,96.11910247802734,39.24253845214844,39.24046325683594,0.0016187222208827734,,,117.78076934814453,,,,41.76470184326172,41.641761779785156,0.05128323659300804,
,,,I_real,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.111236572265625,14.440582275390625,12.37180233001709,2.141434669494629,,,,,,4.0,2204.73193359375,13.020378112792969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.51300048828125,14.78454303741455,12.585949897766113,2.0794873237609863,,,,,,4.0,102.60033416748047,25.647104263305664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.12016487121582,14.44351863861084,12.402665138244629,1.976601481437683,,,,,,4.0,60.82741928100586,45.040870666503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.535354614257812,15.302399635314941,12.543863296508789,2.3855206966400146,,,,,,4.0,41.192413330078125,51.76099395751953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.460697174072266,14.826323509216309,12.545337677001953,2.1615304946899414,,,,,,4.0,51.60855484008789,153.8701171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,1.0,,1.2311452627182007,0.9992648363113403,35.94089889526367,31.060150146484375,28.826217651367188,3.9775688648223877,-0.02671729400753975,2.746423602104187,0.0,,,7.000044822692871,1.000000071586932,0.9986018538475037,41.631675720214844,,,,117.83452606201172,117.75226593017578,1.6652382612228394,1.6652382612228394,0.0025952641376512575,1742.4666748046875,1731.074951171875,41.74286651611328,41.60618591308594,41.74286651611328,41.660770416259766,0.054043933749198914,0.002594921667176049,8.0,70.71196276964379,,,,61.864418029785156,-0.02671729400753975,32.88075637817383,30.862001419067383,2.0828213691711426,4.0,4.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,56.68202590942383,,15.309625625610352,12.489249229431152,2.158979892730713,4.0,,,0.5000504851341248,3.504637788864784e-05,,,0.6931482553482056,0.6931482553482056,0.693148136138916,0.0,0.7699422836303711,-0.0010831884574145079,0.7699422836303711,-0.0010831884574145079,0.0,0.0,,4.0,-0.0015671239234507084,0.0,0.00932560209184885,0.003691996680572629,0.25,1.0,2.999228000640869,1.2311452627182007,0.9992648363113403,8.0,1.0,1.548608660697937,0.9987431764602661,snapshot_aggregate,0,phase2-selected,,6.0,96.11900329589844,39.24199676513672,39.24042892456055,0.0016356386477127671,,,117.83452606201172,,,,41.74286651611328,41.660770416259766,0.054043933749198914,
,,,I_shuffle,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.111631393432617,14.447463989257812,12.371294975280762,2.1457037925720215,,,,,,4.0,2204.4697265625,13.020112037658691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.512380599975586,14.791284561157227,12.585187911987305,2.083699941635132,,,,,,4.0,102.57577514648438,25.65151596069336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.11852264404297,14.450197219848633,12.402026176452637,1.980937123298645,,,,,,4.0,60.812721252441406,45.04374694824219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
